tweet_id,retweet_count,favorite_count
873580283840344065,3570,22599
873337748698140672,1437,0
873213775632977920,1437,6678
872967104147763200,4913,25442
872820683541237760,3375,13755
872620804844003328,3311,19373
872486979161796608,8226,38090
872122724285648897,7359,32032
871879754684805121,9962,35121
871762521631449091,3173,18903
871515927908634625,3166,18882
871166179821445120,5206,0
871102520638267392,5014,19591
871032628920680449,3477,21297
870804317367881728,5652,31525
870726314365509632,3,114
870656317836468226,2400,11562
870374049280663552,24246,77881
870308999962521604,3789,20537
870063196459192321,7597,34243
869772420881756160,9283,39984
869702957897576449,5767,26491
869596645499047938,2856,14983
869227993411051520,3451,19178
868880397819494401,13214,61436
868639477480148993,1899,0
868622495443632128,4851,25061
868552278524837888,1899,9471
867900495410671616,3841,22798
867774946302451713,6748,31963
867421006826221569,2291,15140
867072653475098625,110,0
867051520902168576,7261,30358
866720684873056260,4419,18855
866686824827068416,3208,18151
866450705531457537,32490,115260
866334964761202691,13146,49356
866094527597207552,7729,0
865718153858494464,5193,24225
865359393868664832,4629,24975
865006731092295680,7126,26475
864873206498414592,8031,30480
864279568663928832,2793,13779
864197398364647424,8184,28313
863907417377173506,3835,19481
863553081350529029,3885,14440
863471782782697472,2252,0
863432100342583297,4863,22510
863427515083354112,89,2086
863079547188785154,1031,8314
863062471531167744,2252,7996
862831371563274240,4783,18174
862722525377298433,3290,16212
862457590147678208,4586,19351
862096992088072192,21543,70337
861383897657036800,9971,34208
861288531465048066,3849,16294
861005113778896900,3557,15849
860981674716409858,2002,0
860924035999428608,742,0
860563773140209665,2002,7115
860524505164394496,4961,22485
860276583193509888,3280,17467
860184849394610176,5462,15839
860177593139703809,28915,0
859924526012018688,3841,18651
859851578198683649,3289,14699
859607811541651456,1463,17753
859196978902773760,28258,85597
859074603037188101,12782,32219
858860390427611136,7616,0
858843525470990336,3265,14880
858471635011153920,4571,20542
858107933456039936,2720,15052
857989990357356544,2441,15369
857746408056729600,10017,32748
857393404942143489,1549,5630
857263160327368704,4266,19201
857214891891077121,17,214
857062103051644929,158,0
857029823797047296,3755,18053
856543823941562368,2724,15658
856526610513747968,1779,11379
856330835276025856,633,0
856288084350160898,15,493
856282028240666624,5960,26635
855862651834028034,24,323
855860136149123072,930,4713
855857698524602368,1997,11413
855851453814013952,17159,44042
855818117272018944,5155,25644
855459453768019968,7824,28659
855245323840757760,5663,0
855138241867124737,43,0
854732716440526848,5773,21925
854482394044301312,6526,28201
854365224396361728,4480,18229
854120357044912130,7126,30892
854010172552949760,3010,15694
853760880890318849,5494,27640
853639147608842240,9592,33497
853299958564483072,3416,14992
852936405516943360,1910,0
852912242202992640,1737,8737
852672615818899456,2072,14455
852553447878664193,3332,15805
852311364735569921,9547,32156
852226086759018497,6582,19425
852189679701164033,1531,11137
851861385021730816,19,0
851591660324737024,3334,15821
851464819735769094,6808,23605
851224888060895234,5537,20147
850753642995093505,8783,29969
850380195714523136,2515,12767
850333567704068097,315,3378
850145622816686080,3667,15924
850019790995546112,4705,19896
849776966551130114,7324,29643
849668094696017920,4786,0
849412302885593088,3054,15493
849336543269576704,1839,11154
849051919805034497,8208,41334
848690551926992896,4192,24609
848324959059550208,4484,24154
848213670039564288,704,7995
848212111729840128,2939,15964
847978865427394560,3158,0
847971574464610304,420,0
847962785489326080,4916,23028
847842811428974592,1286,5324
847617282490613760,402,6839
847606175596138505,3333,18394
847251039262605312,4202,20087
847157206088847362,5708,19497
847116187444137987,3096,21051
846874817362120707,3818,19698
846514051647705089,11214,43710
846505985330044928,2986,13831
846153765933735936,8788,30979
846139713627017216,9778,30470
846042936437604353,2784,15682
845812042753855489,8454,28663
845677943972139009,4680,24745
845397057150107648,1752,7486
845306882940190720,5257,22933
845098359547420673,7463,0
844979544864018432,2485,13409
844973813909606400,3097,14816
844580511645339650,3042,16202
844223788422217728,2143,13449
843981021012017153,2884,14949
843856843873095681,4515,21115
843604394117681152,2681,16618
843235543001513987,5888,21192
842846295480000512,3557,15065
842765311967449089,1247,6633
842535590457499648,3434,17846
842163532590374912,5663,24084
842115215311396866,2970,13795
841833993020538882,14738,0
841680585030541313,7658,25400
841439858740625411,3603,12478
841320156043304961,5397,19555
841314665196081154,4549,15656
841077006473256960,5206,22561
840761248237133825,1733,0
840728873075638272,15785,0
840698636975636481,2,173
840696689258311684,954,12142
840632337062862849,1733,8886
840370681858686976,4471,16249
840268004936019968,5618,19041
839990271299457024,2235,13267
839549326359670784,7616,27155
839290600511926273,140,0
839239871831150596,6425,26824
838952994649550848,3925,19444
838921590096166913,2019,11017
838916489579200512,34,0
838831947270979586,10824,0
838561493054533637,1315,10845
838476387338051585,4697,22256
838201503651401729,9876,0
838150277551247360,325,1658
838085839343206401,1,139
838083903487373313,3080,17438
837820167694528512,7729,33734
837482249356513284,437,3823
837471256429613056,2239,12658
837110210464448512,2332,15907
836989968035819520,2269,12640
836753516572119041,4581,19169
836677758902222849,2198,12515
836648853927522308,550,0
836397794269200385,27123,0
836380477523124226,2952,14648
836260088725786625,4251,21146
836001077879255040,4199,18929
835685285446955009,8030,0
835574547218894849,3572,17655
835536468978302976,1671,0
835309094223372289,20664,0
835297930240217089,2973,16345
835264098648616962,1671,7678
835246439529840640,72,2085
835172783151792128,5697,25985
835152434251116546,2977,22235
834931633769889797,1619,10729
834786237630337024,5434,21234
834574053763584002,2500,13552
834477809192075265,10511,0
834458053273591808,1660,9556
834209720923721728,4696,20438
834167344700198914,3622,15714
834089966724603904,2109,9974
834086379323871233,2184,12975
833863086058651648,2383,13350
833826103416520705,3736,17963
833732339549220864,221,0
833722901757046785,3185,20708
833479644947025920,2031,14774
833124694597443584,4786,20065
832998151111966721,2180,13174
832769181346996225,39,0
832757312314028032,3586,16771
832682457690300417,2883,11805
832645525019123713,525,2911
832636094638288896,2756,15769
832397543355072512,2196,11905
832369877331693569,3158,17101
832273440279240704,2321,11290
832215909146226688,6153,0
832215726631055365,9241,0
832088576586297345,2,62
832040443403784192,9526,0
